state,innovatescore_boehmkeskinner,soc_capital,partisan_knowledge_scale,persfree,legprofscore,acounty,amuni,atown,local_gov_total
California,0.056936,,,,,,,,
California,0.056936,,,,,,,,
California,0.062123,,,,,,,,
California,0.062123,,,,,,,,
California,0.034855,,,,,,,,
California,0.034855,,,,,,,,
California,0.036575,,,,,,,,
California,0.036575,,,,,,,,
California,0.210526,,,,,,,,
California,0.210526,,,,,,,,
California,0.052601,,,,,,,,
California,0.052601,,,,,,,,
California,0.24608,,,,,,,,
California,0.24608,,,,,,,,
California,0.118728,,,,,,,,
California,0.118728,,,,,,,,
California,0.056187,,,,,,,,
California,0.056187,,,,,,,,
California,0.049279,,,,,,,,
California,0.049279,,,,,,,,
California,0.000926,,,,,,,,
California,0.000926,,,,,,,,
California,0.029381,,,,,,,,
California,0.029381,,,,,,,,
California,0.044272,,,,,,,,
California,0.044272,,,,,,,,
California,0.041457,,,,,57.0,413.0,0.0,470.0
California,0.041457,,,,,57.0,413.0,0.0,470.0
California,0.022228,,,,0.526,57.0,413.0,0.0,470.0
California,0.022228,,,,,57.0,413.0,0.0,470.0
California,0.06739,,,,,57.0,413.0,0.0,470.0
California,0.06739,,,,,57.0,428.0,0.0,485.0
California,0.071444,,,,,57.0,428.0,0.0,485.0
California,0.071444,,,,,57.0,428.0,0.0,485.0
California,0.076014,,,,,57.0,428.0,0.0,485.0
California,0.076014,0.55427408,,,,57.0,428.0,0.0,485.0
California,0.002044,-0.044050921,,,,57.0,442.0,0.0,499.0
California,0.002044,-0.051387835,,,,57.0,442.0,0.0,499.0
California,0.072994,-0.21985361,,,,57.0,442.0,0.0,499.0
California,0.072994,-0.37614074,,,,57.0,442.0,0.0,499.0
California,0.149125,,,,,57.0,442.0,0.0,499.0
California,0.149125,-0.40698716,,,,57.0,460.0,0.0,517.0
California,0.148049,-0.58237475,,,,57.0,460.0,0.0,517.0
California,0.148049,0.24840109,,,,57.0,460.0,0.0,517.0
California,0.138127,-0.53343803,,,,57.0,460.0,0.0,517.0
California,0.138127,-0.60461515,,,0.57,57.0,460.0,0.0,517.0
California,0.209328,-0.51044494,,,,57.0,471.0,0.0,528.0
California,0.209328,-0.49190864,,,,57.0,471.0,0.0,528.0
California,0.356455,-0.64579898,,,,57.0,471.0,0.0,528.0
California,0.356455,-0.62868893,,,,57.0,471.0,0.0,528.0
California,0.253333,-0.8884415,,1.19486704,,,,,
California,0.253333,-1.0523107,,,,57.0,475.0,0.0,532.0
California,0.011628,-0.59185034,,,0.626,,,,
California,0.011628,-1.154642,,,,57.0,475.0,0.0,532.0
California,0.0,-0.49124524,,,,57.0,475.0,0.0,532.0
California,0.0,-0.77599859,,,,57.0,475.0,0.0,532.0
California,0.0,-0.89248198,2.14,-9.283705017,,57.0,478.0,0.0,535.0
California,0.0,-0.289179,,,,57.0,478.0,0.0,535.0
California,0.0,-0.11527074,,-14.35593473,,57.0,478.0,0.0,535.0
California,0.0,,,,,57.0,478.0,0.0,535.0
California,,,,-13.93621951,,57.0,478.0,0.0,535.0
California,,,,,,57.0,482.0,0.0,539.0
California,,,,,,57.0,482.0,0.0,539.0
California,,,,,,57.0,482.0,0.0,539.0
California,,,,,,57.0,482.0,0.0,539.0
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,,,,,,,,,
Colorado,0.0,,,,,,,,
Colorado,0.0,,,,,,,,
Colorado,0.0,,,,,,,,
Colorado,0.0,,,,,,,,
Colorado,0.001002,,,,,,,,
Colorado,0.001002,,,,,,,,
Colorado,0.057488,,,,,,,,
Colorado,0.057488,,,,,,,,
Colorado,0.001208,,,,,,,,
Colorado,0.001208,,,,,,,,
Colorado,0.051932,,,,,,,,
Colorado,0.051932,,,,,,,,
Colorado,0.049368,,,,,,,,
Colorado,0.049368,,,,,,,,
Colorado,0.000548,,,,,,,,
Colorado,0.000548,,,,,,,,
Colorado,0.000523,,,,,,,,
Colorado,0.000523,,,,,,,,
Colorado,0.036542,,,,,,,,
Colorado,0.036542,,,,,,,,
Colorado,0.031938,,,,,,,,
Colorado,0.031938,,,,,,,,
Colorado,0.213051,,,,,,,,
Colorado,0.213051,,,,,,,,
Colorado,0.118001,,,,,,,,
Colorado,0.118001,,,,,,,,
Colorado,0.033359,,,,,,,,
Colorado,0.033359,,,,,,,,
Colorado,0.029938,,,,,,,,
Colorado,0.029938,,,,,,,,
Colorado,0.000343,,,,,,,,
Colorado,0.000343,,,,,,,,
Colorado,0.0,,,,,,,,
Colorado,0.0,,,,,,,,
